"",".rownames","t","y",".fitted",".se.fit",".resids",".std.resid",".conf.low",".conf.up"
"29","1",29,NA,8.11498842277452,1.11891678257539,0,NA,5.92195182722931,10.3080250183197
"58","2",29,NA,7.71657986902072,1.72280831169453,0,NA,4.33993762583318,11.0932221122083
"87","3",29,NA,4.28978612404373,1.51280219868002,0,NA,1.32474829889788,7.25482394918959
"116","4",29,NA,1.38434507402208,2.60927238383578,0,NA,-3.72973482415101,6.49842497219517
"145","5",29,NA,3.19570506721392,2.11048303868255,0,NA,-0.940765678586523,7.33217581301437
"174","6",29,NA,6.75536921047583,8.81350292864177,0,NA,-10.5187791073003,24.029517528252
"203","7",29,NA,50.5937680487427,6.5949190896208,0,NA,37.6679641521303,63.5195719453551
"232","8",29,NA,19.4401302224033,1.50990013614616,0,NA,16.4807803353047,22.3994801095019
"261","9",29,NA,-34.9370787489873,62.2409959472446,0,NA,-156.92718916749,87.0530316695156
"290","10",29,NA,25.0889820113957,25.0312445822987,0,NA,-23.971355858123,74.1493198809144
"319","11",29,NA,37.9209491929859,13.0701449868397,0,NA,12.3039357460633,63.5379626399085
"348","12",29,NA,54.750104788249,4.97639098593535,0,NA,44.9965576828259,64.503651893672
"377","13",29,NA,12.0267320601217,0.671817884606581,0,NA,10.7099932021229,13.3434709181204
"406","14",29,NA,7.92433500407236,2.95172309015811,0,NA,2.13906405502719,13.7096059531175
"435","15",29,NA,5.12980879798271,6.89168546816482,0,NA,-8.3776465123984,18.6372641083638
"464","16",29,NA,1.77473667353137,0.683913742071738,0,NA,0.434290370538746,3.11518297652399
"493","17",29,NA,-1.92823920211423,1.71057664195804,0,NA,-5.28090781314746,1.424429408919
"522","18",29,NA,2.63481532231393,0.760369235518348,0,NA,1.14451900574571,4.12511163888215
